trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9999500004166653}",20,0,-66.40902363241155,"{0: 11, 1: 4, 2: 4, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.9998000066665778}",30,0,-186.13876914073856,"{0: 16, 1: 3, 2: 7, 3: 2, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.9995500337489875}",25,0,-176.4961253511738,"{0: 13, 1: 3, 2: 6, 3: 0, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.9992001066609779}",20,0,-127.8600675180259,"{0: 10, 1: 3, 2: 4, 3: 2, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.9987502603949663}",30,0,-189.40610893981577,"{0: 16, 1: 3, 2: 7, 3: 2, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.9982005399352042}",25,3,-58.46209400002535,"{0: 16, 1: 2, 2: 3, 3: 0, 4: 1}",1
7,False,"{'a': 0.5, 'e': 0.9975510002532796}",25,0,-225.80596422689763,"{0: 12, 1: 3, 2: 4, 3: 3, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.9968017063026194}",35,0,-156.3773509372134,"{0: 19, 1: 6, 2: 8, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.9959527330119943}",30,0,-114.59846016074077,"{0: 20, 1: 4, 2: 4, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.9950041652780257}",25,0,-98.11802099037848,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.9939560979566968}",20,0,-105.8483983635399,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.9928086358538663}",25,0,-145.0816000738052,"{0: 13, 1: 3, 2: 5, 3: 3, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.9915618937147881}",25,0,-126.0399599211107,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.9902159962126371}",30,0,-186.35687349402016,"{0: 18, 1: 2, 2: 6, 3: 1, 4: 3}",0
15,False,"{'a': 0.5, 'e': 0.9887710779360422}",25,0,-59.529585090990125,"{0: 14, 1: 6, 2: 5, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.9872272833756269}",20,0,-88.26776537925431,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.9855847669095608}",20,0,-93.65574756022559,"{0: 9, 1: 5, 2: 4, 3: 2, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.9838436927881214}",30,0,-185.20659563978998,"{0: 16, 1: 4, 2: 6, 3: 2, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.9820042351172703}",20,0,-87.06413415983194,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.9800665778412416}",20,0,-150.51081953231764,"{0: 8, 1: 4, 2: 6, 3: 0, 4: 2}",0
21,False,"{'a': 0.5, 'e': 0.9780309147241483}",20,0,-78.3411366576222,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
22,False,"{'a': 0.5, 'e': 0.9758974493306055}",20,0,-177.68928532507067,"{0: 9, 1: 5, 2: 2, 3: 1, 4: 3}",0
23,False,"{'a': 0.5, 'e': 0.9736663950053749}",25,0,-128.481299391025,"{0: 14, 1: 5, 2: 4, 3: 0, 4: 2}",0
24,False,"{'a': 0.5, 'e': 0.9713379748520297}",25,0,-25.536386523415885,"{0: 18, 1: 5, 2: 2, 3: 0, 4: 0}",0
25,False,"{'a': 0.5, 'e': 0.9689124217106447}",30,0,-162.6405480879059,"{0: 16, 1: 5, 2: 4, 3: 4, 4: 1}",0
26,False,"{'a': 0.5, 'e': 0.9663899781345132}",20,0,-33.379513477027665,"{0: 13, 1: 5, 2: 2, 3: 0, 4: 0}",0
27,False,"{'a': 0.5, 'e': 0.9637708963658905}",20,0,-77.02710853686577,"{0: 11, 1: 5, 2: 2, 3: 2, 4: 0}",0
28,False,"{'a': 0.5, 'e': 0.9610554383107709}",20,0,-80.13024609185746,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
29,False,"{'a': 0.5, 'e': 0.9582438755126972}",25,0,-60.79752320028918,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 1}",0
30,False,"{'a': 0.5, 'e': 0.955336489125606}",20,0,-153.77612877774084,"{0: 9, 1: 4, 2: 4, 3: 1, 4: 2}",0
31,False,"{'a': 0.5, 'e': 0.9523335698857134}",25,0,-71.15124228770757,"{0: 16, 1: 3, 2: 4, 3: 2, 4: 0}",0
32,False,"{'a': 0.5, 'e': 0.9492354180824408}",20,0,-118.85687930521618,"{0: 9, 1: 2, 2: 6, 3: 3, 4: 0}",0
33,False,"{'a': 0.5, 'e': 0.946042343528387}",25,0,-175.8932916883853,"{0: 13, 1: 1, 2: 7, 3: 2, 4: 2}",0
34,False,"{'a': 0.5, 'e': 0.9427546655283462}",25,0,-66.84839001365273,"{0: 16, 1: 7, 2: 1, 3: 0, 4: 1}",0
35,False,"{'a': 0.5, 'e': 0.9393727128473789}",20,0,-167.2983306753272,"{0: 9, 1: 1, 2: 7, 3: 1, 4: 2}",0
36,False,"{'a': 0.5, 'e': 0.9358968236779348}",20,0,-69.54569790948244,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
37,False,"{'a': 0.5, 'e': 0.9323273456060345}",25,0,-98.53123732716682,"{0: 17, 1: 2, 2: 3, 3: 2, 4: 1}",0
38,False,"{'a': 0.5, 'e': 0.9286646355765102}",20,0,-145.3749968150039,"{0: 11, 1: 3, 2: 2, 3: 2, 4: 2}",0
