trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",30,0,-179.28122403694204,"{0: 17, 1: 4, 2: 6, 3: 0, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-109.52196963144,"{0: 15, 1: 4, 2: 4, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",35,0,-180.31684692392918,"{0: 20, 1: 3, 2: 7, 3: 4, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-105.95274705173664,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",30,0,-138.44058693695374,"{0: 19, 1: 3, 2: 6, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",30,1,-206.15588361598068,"{0: 14, 1: 4, 2: 8, 3: 0, 4: 3}",1
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",30,0,-144.37703531616825,"{0: 16, 1: 3, 2: 9, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,11,-36.932960704972004,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 1}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,8,-64.822915158521,"{0: 7, 1: 1, 2: 3, 3: 0, 4: 1}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,15,-45.62225598094726,"{0: 6, 1: 3, 2: 0, 3: 0, 4: 1}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-149.53581933595495,"{0: 10, 1: 4, 2: 2, 3: 2, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-65.20544052056027,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-126.48610513056126,"{0: 10, 1: 5, 2: 3, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-274.3636937411611,"{0: 8, 1: 4, 2: 8, 3: 1, 4: 4}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,-262.91056471525656,"{0: 14, 1: 2, 2: 1, 3: 3, 4: 5}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-135.13651193172825,"{0: 9, 1: 5, 2: 2, 3: 3, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-56.35363090262889,"{0: 14, 1: 1, 2: 3, 3: 2, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,2,-91.1823138576645,"{0: 8, 1: 1, 2: 8, 3: 1, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-106.12358764982916,"{0: 10, 1: 5, 2: 3, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,-87.00375743806693,"{0: 16, 1: 5, 2: 3, 3: 0, 4: 1}",0
1,True,"{'a': 0, 'e': 0}",25,0,-88.74041544378298,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",35,0,-231.17059627420753,"{0: 15, 1: 7, 2: 9, 3: 2, 4: 2}",0
3,True,"{'a': 0, 'e': 0}",30,0,-166.07111348926662,"{0: 14, 1: 10, 2: 1, 3: 4, 4: 1}",0
4,True,"{'a': 0, 'e': 0}",25,0,-93.89769500471557,"{0: 15, 1: 4, 2: 5, 3: 0, 4: 1}",0
5,True,"{'a': 0, 'e': 0}",20,0,-156.2998386381513,"{0: 12, 1: 2, 2: 2, 3: 1, 4: 3}",0
6,True,"{'a': 0, 'e': 0}",20,0,-85.16642244699105,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
7,True,"{'a': 0, 'e': 0}",25,0,-170.1237835507087,"{0: 14, 1: 0, 2: 8, 3: 1, 4: 2}",0
8,True,"{'a': 0, 'e': 0}",25,0,-174.8223120925075,"{0: 13, 1: 2, 2: 6, 3: 2, 4: 2}",0
9,True,"{'a': 0, 'e': 0}",25,0,-191.39467140448957,"{0: 14, 1: 3, 2: 3, 3: 2, 4: 3}",0
10,True,"{'a': 0, 'e': 0}",30,0,-91.8754341413514,"{0: 19, 1: 5, 2: 5, 3: 0, 4: 1}",0
